# Time-averaged data for fix 42
# TimeStep Number-of-rows
# Row c_rdf2[1] c_rdf2[2] c_rdf2[3]
2000 1000
99 0.626953 0 0
100 0.633317 0 0
101 0.639682 0 0
102 0.646048 0 0
103 0.652412 0 0
104 0.658777 0 0
105 0.665143 0 0
106 0.671507 0 0
107 0.677872 0 0
108 0.684238 0 0
109 0.690602 0 0
110 0.696967 0 0
111 0.703333 0 0
112 0.709697 0 0
113 0.716063 0 0
114 0.722428 0 0
115 0.728792 0 0
116 0.735157 0 0
117 0.741523 0 0
118 0.747887 0 0
119 0.754253 0 0
120 0.760617 0 0
121 0.766982 0 0
122 0.773347 0 0
123 0.779713 0 0
124 0.786077 0 0
125 0.792443 0 0
126 0.798807 0 0
127 0.805172 0 0
128 0.811538 0 0
129 0.817903 0 0
130 0.824268 0 0
131 0.830632 0 0
132 0.836997 0 0
133 0.843362 0 0
134 0.849728 0 0
135 0.856093 0 0
136 0.862458 0 0
137 0.868822 0 0
138 0.875187 0 0
139 0.881552 0 0
140 0.887918 0 0
141 0.894283 0 0
142 0.900648 0 0
143 0.907012 0 0
144 0.913377 0 0
145 0.919742 0 0
146 0.926108 0 0
147 0.932473 0 0
148 0.938838 0 0
149 0.945202 0 0
150 0.951567 0 0
151 0.957932 0 0
152 0.964298 0 0
153 0.970663 0 0
154 0.977028 0 0
155 0.983392 0 0
156 0.989757 0 0
157 0.996122 0 0
158 1.00249 0 0
159 1.00885 0 0
160 1.01522 0 0
161 1.02158 0 0
162 1.02795 0 0
163 1.03431 0 0
164 1.04068 0 0
165 1.04704 0 0
166 1.05341 0 0
167 1.05977 0 0
168 1.06614 0 0
169 1.0725 0 0
170 1.07887 0 0
171 1.08523 0 0
172 1.0916 0 0
173 1.09796 0 0
174 1.10433 0 0
175 1.11069 0 0
176 1.11706 0 0
177 1.12342 0 0
178 1.12979 0 0
179 1.13615 0 0
180 1.14252 0 0
181 1.14888 0 0
182 1.15525 0 0
183 1.16161 0 0
184 1.16798 0 0
185 1.17434 0 0
186 1.18071 0 0
187 1.18707 0 0
188 1.19344 0 0
189 1.1998 0 0
190 1.20617 0 0
191 1.21253 0 0
192 1.2189 0 0
193 1.22526 0 0
194 1.23163 0 0
195 1.23799 0 0
196 1.24436 0 0
197 1.25072 0 0
198 1.25709 0 0
199 1.26345 0 0
200 1.26982 0 0
201 1.27618 0 0
202 1.28255 0 0
203 1.28891 0 0
204 1.29528 0 0
205 1.30164 0 0
206 1.30801 0 0
207 1.31437 0 0
208 1.32074 0 0
209 1.3271 0 0
210 1.33347 0 0
211 1.33983 0 0
212 1.3462 0 0
213 1.35256 0 0
214 1.35893 0 0
215 1.36529 0 0
216 1.37166 0 0
217 1.37802 0 0
218 1.38439 0 0
219 1.39075 0 0
220 1.39712 0 0
221 1.40348 0 0
222 1.40985 0 0
223 1.41621 0 0
224 1.42258 0 0
225 1.42894 0 0
226 1.43531 0 0
227 1.44167 0 0
228 1.44804 0 0
229 1.4544 0 0
230 1.46077 0 0
231 1.46713 0 0
232 1.4735 0 0
233 1.47986 0 0
234 1.48623 0 0
235 1.49259 0 0
236 1.49896 0 0
237 1.50532 0 0
238 1.51169 0 0
239 1.51805 0 0
240 1.52442 0 0
241 1.53078 0 0
242 1.53715 0 0
243 1.54351 0 0
244 1.54988 0 0
245 1.55624 0 0
246 1.56261 0 0
247 1.56897 0 0
248 1.57534 0 0
249 1.5817 0 0
250 1.58807 0 0
251 1.59443 0 0
252 1.6008 0 0
253 1.60716 0 0
254 1.61353 0 0
255 1.61989 0 0
256 1.62626 0 0
257 1.63262 0 0
258 1.63899 0 0
259 1.64535 0 0
260 1.65172 0 0
261 1.65808 0 0
262 1.66445 0 0
263 1.67081 0 0
264 1.67718 0 0
265 1.68354 0 0
266 1.68991 0 0
267 1.69627 0 0
268 1.70264 0 0
269 1.709 0 0
270 1.71537 0 0
271 1.72173 0 0
272 1.7281 0 0
273 1.73446 0 0
274 1.74083 0 0
275 1.74719 0 0
276 1.75356 0 0
277 1.75992 0 0
278 1.76629 0 0
279 1.77265 0 0
280 1.77902 0 0
281 1.78538 0 0
282 1.79175 0 0
283 1.79811 0 0
284 1.80448 0 0
285 1.81084 0 0
286 1.81721 0 0
287 1.82357 0 0
288 1.82994 0 0
289 1.8363 0 0
290 1.84267 0.039045 0.0005
291 1.84903 0.0387767 0.001
292 1.8554 0 0.001
293 1.86176 0 0.001
294 1.86813 0 0.001
295 1.87449 0 0.001
296 1.88086 0 0.001
297 1.88722 0.0372232 0.0015
298 1.89359 0 0.0015
299 1.89995 0 0.0015
300 1.90632 0 0.0015
301 1.91268 0 0.0015
302 1.91905 0 0.0015
303 1.92541 0 0.0015
304 1.93178 0 0.0015
305 1.93814 0.035293 0.002
306 1.94451 0.0350623 0.0025
307 1.95087 0 0.0025
308 1.95724 0 0.0025
309 1.9636 0 0.0025
310 1.96997 0.102486 0.004
311 1.97633 0 0.004
312 1.9827 0 0.004
313 1.98906 0.0335091 0.0045
314 1.99543 0 0.0045
315 2.00179 0.0330843 0.005
316 2.00816 0 0.005
317 2.01452 0 0.005
318 2.02089 0.032462 0.0055
319 2.02725 0.064517 0.0065
320 2.03362 0 0.0065
321 2.03998 0.0318571 0.007
322 2.04635 0.0316593 0.0075
323 2.05271 0.0314632 0.008
324 2.05908 0.062538 0.009
325 2.06544 0.0310766 0.0095
326 2.07181 0 0.0095
327 2.07817 0.030697 0.01
328 2.08454 0.0610197 0.011
329 2.0909 0.0909732 0.0125
330 2.09727 0.0301406 0.013
331 2.10363 0.0898755 0.0145
332 2.11 0.029778 0.015
333 2.11636 0.0591983 0.016
334 2.12273 0.0588439 0.017
335 2.12909 0.116985 0.019
336 2.13546 0.145361 0.0215
337 2.14182 0.115599 0.0235
338 2.14819 0.172372 0.0265
339 2.15455 0.0571183 0.0275
340 2.16092 0.0567823 0.0285
341 2.16728 0.112899 0.0305
342 2.17365 0.0841788 0.032
343 2.18001 0.111584 0.034
344 2.18638 0.0832014 0.0355
345 2.19274 0.386022 0.0425
346 2.19911 0.30155 0.048
347 2.20547 0.245301 0.0525
348 2.21184 0.216792 0.0565
349 2.2182 0.188606 0.06
350 2.22457 0.321477 0.066
351 2.23093 0.213097 0.07
352 2.2373 0.264858 0.075
353 2.24366 0.131678 0.0775
354 2.25003 0.314243 0.0835
355 2.25639 0.338512 0.09
356 2.26276 0.284824 0.0955
357 2.26912 0.283228 0.101
358 2.27549 0.460875 0.11
359 2.28185 0.509231 0.12
360 2.28822 0.227881 0.1245
361 2.29458 0.428057 0.133
362 2.30095 0.425692 0.1415
363 2.30731 0.373541 0.149
364 2.31368 0.396254 0.157
365 2.32004 0.665015 0.1705
366 2.32641 0.61239 0.183
367 2.33277 0.438518 0.192
368 2.33914 0.508824 0.2025
369 2.3455 0.74705 0.218
370 2.35187 0.431426 0.227
371 2.35823 0.786684 0.2435
372 2.3646 0.735033 0.259
373 2.37096 0.825427 0.2765
374 2.37733 0.727183 0.292
375 2.38369 0.559977 0.304
376 2.39006 0.858707 0.3225
377 2.39642 0.969577 0.3435
378 2.40279 1.0563 0.3665
379 2.40915 0.982199 0.388
380 2.41552 0.999752 0.41
381 2.42188 1.33354 0.4395
382 2.42825 1.05675 0.463
383 2.43461 0.872298 0.4825
384 2.44098 1.17926 0.509
385 2.44734 1.19526 0.536
386 2.45371 1.07897 0.5605
387 2.46007 1.20483 0.588
388 2.46644 1.22042 0.616
389 2.4728 0.99733 0.639
390 2.47917 1.55303 0.675
391 2.48553 1.71677 0.715
392 2.4919 1.34505 0.7465
393 2.49826 1.18952 0.7745
394 2.50463 1.28915 0.805
395 2.51099 1.24057 0.8345
396 2.51736 1.48535 0.87
397 2.52372 1.45705 0.905
398 2.53009 1.53257 0.942
399 2.53645 1.73095 0.984
400 2.54282 1.49676 1.0205
401 2.54918 1.6117 1.06
402 2.55555 1.94878 1.108
403 2.56191 1.87851 1.1545
404 2.56828 1.78882 1.199
405 2.57464 1.73998 1.2425
406 2.58101 1.63191 1.2835
407 2.58737 1.7229 1.327
408 2.59374 1.8327 1.3735
409 2.6001 1.68647 1.4165
410 2.60647 1.87338 1.4645
411 2.61283 1.74775 1.5095
412 2.6192 1.95184 1.56
413 2.62556 2.01932 1.6125
414 2.63193 1.91387 1.6625
415 2.63829 2.09511 1.7175
416 2.64466 1.91444 1.768
417 2.65102 1.75435 1.8145
418 2.65739 1.72718 1.8605
419 2.66375 1.66288 1.905
420 2.67012 2.21282 1.9645
421 2.67648 2.01724 2.019
422 2.68285 1.76823 2.067
423 2.68921 1.92486 2.1195
424 2.69558 1.82455 2.1695
425 2.70194 2.03388 2.2255
426 2.70831 2.34967 2.2905
427 2.71467 1.70903 2.338
428 2.72104 1.84428 2.3895
429 2.7274 2.10302 2.4485
430 2.73377 2.18193 2.51
431 2.74013 2.29541 2.575
432 2.7465 2.16176 2.6365
433 2.75286 1.85437 2.6895
434 2.75923 1.811 2.7415
435 2.76559 2.18401 2.8045
436 2.77196 1.77715 2.856
437 2.77832 1.63162 2.9035
438 2.78469 2.05158 2.9635
439 2.79105 2.11031 3.0255
440 2.79742 1.86354 3.0805
441 2.80378 1.80449 3.134
442 2.81015 1.74596 3.186
443 2.81651 1.95534 3.2445
444 2.82288 2.01308 3.305
445 2.82924 2.28559 3.374
446 2.83561 2.12695 3.4385
447 2.84197 1.95329 3.498
448 2.84834 1.66678 3.549
449 2.8547 2.21247 3.617
450 2.86107 1.97589 3.678
451 2.86743 1.83814 3.735
452 2.8738 1.94237 3.7955
453 2.88016 1.758 3.8505
454 2.88653 1.60705 3.901
455 2.89289 1.96434 3.963
456 2.89926 1.79801 4.02
457 2.90562 2.16701 4.089
458 2.91199 1.82922 4.1475
459 2.91835 1.83682 4.2065
460 2.92472 1.70484 4.2615
461 2.93108 1.60486 4.3135
462 2.93745 1.64401 4.367
463 2.94381 1.6828 4.422
464 2.95018 1.69078 4.4775
465 2.95654 1.74417 4.535
466 2.96291 1.67628 4.5905
467 2.96927 1.98488 4.6565
468 2.97564 1.58711 4.7095
469 2.982 1.62506 4.764
470 2.98837 1.55877 4.8165
471 2.99473 1.67041 4.873
472 3.0011 1.53085 4.925
473 3.00746 1.45109 4.9745
474 3.01383 1.44497 5.024
475 3.02019 1.58423 5.0785
476 3.02656 1.47626 5.1295
477 3.03292 1.6286 5.186
478 3.03929 1.77966 5.248
479 3.04565 1.4578 5.299
480 3.05202 1.13861 5.339
481 3.05838 1.27561 5.384
482 3.06475 1.36912 5.4325
483 3.07111 1.36345 5.481
484 3.07748 1.32982 5.5285
485 3.08384 1.29646 5.575
486 3.09021 1.48549 5.6285
487 3.09657 1.39643 5.679
488 3.10294 1.66609 5.7395
489 3.1093 1.30274 5.787
490 3.11567 1.25645 5.833
491 3.12203 1.57777 5.891
492 3.1284 1.32752 5.94
493 3.13476 1.24119 5.986
494 3.14113 1.27648 6.0335
495 3.14749 1.17764 6.0775
496 3.15386 1.14624 6.1205
497 3.16022 1.36729 6.172
498 3.16659 1.24281 6.219
499 3.17295 1.35634 6.2705
500 3.17932 1.28534 6.3195
501 3.18568 1.13651 6.363
502 3.19205 1.13198 6.4065
503 3.19841 1.16636 6.4515
504 3.20478 1.30372 6.502
505 3.21114 1.02856 6.542
506 3.21751 1.11414 6.5855
507 3.22387 1.45415 6.6425
508 3.23024 1.11808 6.6865
509 3.2366 1.2529 6.736
510 3.24297 1.09672 6.7795
511 3.24933 1.05475 6.8215
512 3.2557 1.17571 6.8685
513 3.26206 0.996702 6.9085
514 3.26843 1.29067 6.9605
515 3.27479 1.23621 7.0105
516 3.28116 1.05902 7.0535
517 3.28752 1.21439 7.103
518 3.29389 0.977535 7.143
519 3.30025 1.29024 7.196
520 3.30662 1.07915 7.2405
521 3.31298 1.12332 7.287
522 3.31935 1.03479 7.33
523 3.32571 1.24659 7.382
524 3.33208 1.0866 7.4275
525 3.33844 1.03488 7.471
526 3.34481 1.2324 7.523
527 3.35117 0.944401 7.563
528 3.35754 1.15251 7.612
529 3.3639 0.98413 7.654
530 3.37027 1.09713 7.701
531 3.37663 1.16277 7.751
532 3.383 1.25107 7.805
533 3.38936 0.9694 7.847
534 3.39573 0.988764 7.89
535 3.40209 1.05379 7.936
536 3.40846 1.22103 7.9895
537 3.41482 0.954999 8.0315
538 3.42119 1.01941 8.0765
539 3.42755 0.981773 8.12
540 3.43392 0.787006 8.155
541 3.44028 0.985722 8.199
542 3.44665 0.948604 8.2415
543 3.45301 0.922873 8.283
544 3.45938 0.941636 8.3255
545 3.46574 0.971292 8.3695
546 3.47211 0.758792 8.404
547 3.47847 1.07376 8.453
548 3.48484 0.938844 8.496
549 3.4912 0.859284 8.5355
550 3.49757 0.845322 8.5745
551 3.50393 0.723475 8.608
552 3.5103 0.699335 8.6405
553 3.51666 0.996969 8.687
554 3.52303 0.865193 8.7275
555 3.52939 1.07493 8.778
556 3.53576 1.02865 8.8265
557 3.54212 0.972122 8.8725
558 3.54849 0.768593 8.909
559 3.55485 0.849771 8.9495
560 3.56122 1.11853 9.003
561 3.56758 0.854133 9.044
562 3.57395 0.871852 9.086
563 3.58031 0.703278 9.12
564 3.58668 0.999648 9.1685
565 3.59304 0.86261 9.2105
566 3.59941 0.81863 9.2505
567 3.60577 0.85653 9.2925
568 3.61214 0.863675 9.335
569 3.6185 0.840389 9.3765
570 3.62487 0.867709 9.4195
571 3.63123 1.03559 9.471
572 3.6376 0.841608 9.513
573 3.64396 1.0084 9.5635
574 3.65033 0.865597 9.607
575 3.65669 0.872501 9.651
576 3.66306 0.938634 9.6985
577 3.66942 0.876303 9.743
578 3.67579 0.735903 9.7805
579 3.68215 0.958258 9.8295
580 3.68852 0.652877 9.863
581 3.69488 0.844847 9.9065
582 3.70125 0.851621 9.9505
583 3.70761 0.887277 9.9965
584 3.71398 0.961128 10.0465
585 3.72034 0.747117 10.0855
586 3.72671 0.668201 10.1205
587 3.73307 0.913268 10.1685
588 3.73944 0.995489 10.221
589 3.7458 0.784239 10.2625
590 3.75217 0.885163 10.3095
591 3.75853 0.835244 10.354
592 3.7649 0.860481 10.4
593 3.77126 0.587255 10.4315
594 3.77763 0.975463 10.484
595 3.78399 0.731453 10.5235
596 3.79036 0.987378 10.577
597 3.79672 0.754147 10.618
598 3.80309 0.898283 10.667
599 3.80945 1.01405 10.7225
600 3.81582 0.737513 10.763
601 3.82218 0.762283 10.805
602 3.82855 0.931599 10.8565
603 3.83491 0.883436 10.9055
604 3.84128 0.790663 10.9495
605 3.84764 0.805959 10.9945
606 3.85401 0.687267 11.033
607 3.86037 0.925198 11.085
608 3.86674 0.842353 11.1325
609 3.8731 0.839587 11.18
610 3.87947 0.872069 11.2295
611 3.88583 0.869215 11.279
612 3.8922 0.918882 11.3315
613 3.89856 0.77632 11.376
614 3.90493 0.843346 11.4245
615 3.91129 0.771275 11.469
616 3.91766 0.829236 11.517
617 3.92402 0.71462 11.5585
618 3.93039 0.600741 11.5935
619 3.93675 0.701451 11.6345
620 3.94312 0.844142 11.684
621 3.94948 0.739433 11.7275
622 3.95585 0.728583 11.7705
623 3.96221 0.743134 11.8145
624 3.96858 0.833346 11.864
625 3.97494 0.797117 11.9115
626 3.98131 0.894937 11.965
627 3.98767 0.608617 12.0015
628 3.99404 0.63161 12.0395
629 4.0004 0.787003 12.087
630 4.00677 0.825794 12.137
631 4.01313 0.716164 12.1805
632 4.0195 0.878012 12.234
633 4.02586 0.867058 12.287
634 4.03223 0.758321 12.3335
635 4.03859 0.869728 12.387
636 4.04496 0.858891 12.44
637 4.05132 0.767344 12.4875
638 4.05769 0.861562 12.541
639 4.06405 1.01137 12.604
640 4.07042 0.672142 12.646
641 4.07678 0.717906 12.691
642 4.08315 0.826996 12.743
643 4.08951 0.824423 12.795
644 4.09588 0.885083 12.851
645 4.10224 0.811436 12.9025
646 4.10861 0.753949 12.9505
647 4.11497 0.688983 12.9945
648 4.12134 0.905402 13.0525
649 4.1277 0.708084 13.098
650 4.13407 0.698148 13.143
651 4.14043 0.595469 13.1815
652 4.1468 0.755545 13.2305
653 4.15316 0.745545 13.279
654 4.15953 0.766253 13.329
655 4.16589 0.771552 13.3795
656 4.17226 0.967212 13.443
657 4.17862 0.888341 13.5015
658 4.18499 0.984045 13.5665
659 4.19135 0.84522 13.6225
660 4.19772 0.752374 13.6725
661 4.20408 0.742596 13.722
662 4.21045 0.830092 13.7775
663 4.21681 0.879779 13.8365
664 4.22318 0.869695 13.895
665 4.22954 0.822614 13.9505
666 4.23591 0.679759 13.9965
667 4.24227 0.847151 14.054
668 4.24864 0.807892 14.109
669 4.255 0.790832 14.163
670 4.26137 0.77387 14.216
671 4.26773 0.764284 14.2685
672 4.2741 0.76201 14.321
673 4.28046 0.875516 14.3815
674 4.28683 0.764705 14.4345
675 4.29319 0.920681 14.4985
676 4.29956 0.925129 14.563
677 4.30592 0.750787 14.6155
678 4.31229 0.826994 14.6735
679 4.31865 0.8601 14.734
680 4.32502 0.779609 14.789
681 4.33138 0.862118 14.85
682 4.33775 0.767994 14.9045
683 4.34411 0.814922 14.9625
684 4.35048 0.945627 15.03
685 4.35684 0.956834 15.0985
686 4.36321 0.967973 15.168
687 4.36957 0.951267 15.2365
688 4.37594 0.837728 15.297
689 4.3823 0.745554 15.351
690 4.38867 0.894825 15.416
691 4.39503 0.823601 15.476
692 4.4014 0.910187 15.5425
693 4.40776 0.948502 15.612
694 4.41413 0.959377 15.6825
695 4.42049 0.861633 15.746
696 4.42686 0.825332 15.807
697 4.43322 0.816218 15.8675
698 4.43959 0.780248 15.9255
699 4.44595 0.912156 15.9935
700 4.45232 0.829296 16.0555
701 4.45868 0.920293 16.1245
702 4.46505 0.93097 16.1945
703 4.47141 0.908429 16.263
704 4.47778 0.866176 16.3285
705 4.48414 0.903279 16.397
706 4.49051 0.841548 16.461
707 4.49687 0.996512 16.537
708 4.50324 0.902172 16.606
709 4.5096 0.886589 16.674
710 4.51597 0.87109 16.741
711 4.52233 0.959393 16.815
712 4.5287 0.911449 16.8855
713 4.53506 0.870216 16.953
714 4.54143 0.822783 17.017
715 4.54779 0.846121 17.083
716 4.55416 0.856542 17.15
717 4.56052 0.87965 17.219
718 4.56689 1.0234 17.2995
719 4.57325 1.05859 17.383
720 4.57962 0.998754 17.462
721 4.58598 1.04641 17.545
722 4.59235 0.848641 17.6125
723 4.59871 0.940327 17.6875
724 4.60508 0.850208 17.7555
725 4.61144 0.947611 17.8315
726 4.61781 0.957434 17.9085
727 4.62417 0.8928 17.9805
728 4.63054 0.995458 18.061
729 4.6369 1.04822 18.146
730 4.64327 0.90392 18.2195
731 4.64963 0.870785 18.2905
732 4.656 0.97237 18.37
733 4.66236 1.01241 18.453
734 4.66873 0.967075 18.5325
735 4.67509 0.879524 18.605
736 4.68146 0.931577 18.682
737 4.68782 0.983344 18.7635
738 4.69419 0.986695 18.8455
739 4.70055 0.768019 18.9095
740 4.70692 0.975381 18.991
741 4.71328 0.954845 19.071
742 4.71965 0.862996 19.1435
743 4.72601 0.991258 19.227
744 4.73238 0.923476 19.305
745 4.73874 0.926901 19.3835
746 4.74511 1.00685 19.469
747 4.75147 1.00415 19.5545
748 4.75784 1.06003 19.645
749 4.7642 1.03384 19.7335
750 4.77057 0.932051 19.8135
751 4.77693 0.90633 19.8915
752 4.7833 1.10672 19.987
753 4.78966 1.13846 20.0855
754 4.79603 1.02593 20.1745
755 4.80239 0.925487 20.255
756 4.80876 0.945972 20.3375
757 4.81512 0.89201 20.4155
758 4.82149 1.04364 20.507
759 4.82785 0.904376 20.5865
760 4.83422 1.04382 20.6785
761 4.84058 0.978838 20.765
762 4.84695 1.07785 20.8605
763 4.85331 1.04125 20.953
764 4.85968 1.17887 21.058
765 4.86604 1.04701 21.1515
766 4.87241 1.01077 21.242
767 4.87877 1.09725 21.3405
768 4.88514 1.11106 21.4405
769 4.8915 1.10263 21.54
770 4.89787 1.15503 21.6445
771 4.90423 1.09691 21.744
772 4.9106 1.00061 21.835
773 4.91696 0.959631 21.9225
774 4.92333 0.96809 22.011
775 4.92969 1.04197 22.1065
776 4.93606 0.973986 22.196
777 4.94242 1.13972 22.301
778 4.94879 0.958155 22.3895
779 4.95515 1.16627 22.4975
780 4.96152 1.02864 22.593
781 4.96788 1.03138 22.689
782 4.97425 1.13054 22.7945
783 4.98061 1.13835 22.901
784 4.98698 1.02883 22.9975
785 4.99334 1.07406 23.0985
786 4.99971 1.06072 23.1985
787 5.00607 1.16912 23.309
788 5.01244 1.06062 23.4095
789 5.0188 1.08424 23.5125
790 5.02517 0.944999 23.6025
791 5.03153 1.09447 23.707
792 5.0379 0.893218 23.7925
793 5.04426 1.07854 23.896
794 5.05063 1.07062 23.999
795 5.05699 1.10422 24.1055
796 5.06336 1.11179 24.213
797 5.06972 1.08836 24.3185
798 5.07609 1.08564 24.424
799 5.08245 0.90842 24.5125
800 5.08882 1.01878 24.612
801 5.09518 1.07751 24.7175
802 5.10155 1.04426 24.82
803 5.10791 1.16869 24.935
804 5.11428 1.04414 25.038
805 5.12064 1.14772 25.1515
806 5.12701 1.06922 25.2575
807 5.13337 1.23763 25.3805
808 5.13974 1.11914 25.492
809 5.1461 1.17644 25.6095
810 5.15247 1.19851 25.7295
811 5.15883 1.21548 25.8515
812 5.1652 1.26218 25.9785
813 5.17156 1.04096 26.0835
814 5.17793 1.06313 26.191
815 5.18429 1.05559 26.298
816 5.19066 1.08745 26.4085
817 5.19702 1.20259 26.531
818 5.20339 0.99889 26.633
819 5.20975 1.03064 26.7385
820 5.21612 1.18893 26.8605
821 5.22248 1.16173 26.98
822 5.22885 1.28012 27.112
823 5.23521 1.08836 27.2245
824 5.24158 1.12915 27.3415
825 5.24794 1.03014 27.4485
826 5.25431 1.07086 27.56
827 5.26067 0.972464 27.6615
828 5.26704 1.12304 27.779
829 5.2734 1.05835 27.89
830 5.27977 1.15568 28.0115
831 5.28613 1.03429 28.1205
832 5.2925 1.0318 28.2295
833 5.29886 1.1332 28.3495
834 5.30523 1.16816 28.4735
835 5.31159 1.16537 28.5975
836 5.31796 1.05476 28.71
837 5.32432 1.05691 28.823
838 5.33069 1.10571 28.9415
839 5.33705 1.00068 29.049
840 5.34342 1.02616 29.1595
841 5.34978 1.16732 29.2855
842 5.35615 1.13219 29.408
843 5.36251 1.23554 29.542
844 5.36888 1.09924 29.6615
845 5.37524 1.03698 29.7745
846 5.38161 1.12608 29.8975
847 5.38797 1.07776 30.0155
848 5.39434 1.04788 30.1305
849 5.4007 1.11359 30.253
850 5.40707 1.11097 30.3755
851 5.41343 0.950022 30.4805
852 5.4198 1.04257 30.596
853 5.42616 1.03112 30.7105
854 5.43253 1.08261 30.831
855 5.43889 1.03078 30.946
856 5.44526 1.17592 31.0775
857 5.45162 1.11073 31.202
858 5.45799 1.01468 31.316
859 5.46435 0.950159 31.423
860 5.47072 1.134 31.551
861 5.47708 0.888296 31.6515
862 5.48345 0.983235 31.763
863 5.48981 1.16571 31.8955
864 5.49618 1.11913 32.023
865 5.50254 0.901987 32.126
866 5.50891 1.02222 32.243
867 5.51527 1.10267 32.3695
868 5.52164 1.08274 32.494
869 5.528 1.10628 32.6215
870 5.53437 1.02582 32.74
871 5.54073 1.04074 32.8605
872 5.5471 1.08575 32.9865
873 5.55346 0.984391 33.101
874 5.55983 1.0336 33.2215
875 5.56619 1.04408 33.3435
876 5.57256 1.10146 33.4725
877 5.57892 1.0734 33.5985
878 5.58529 0.981705 33.714
879 5.59165 1.04307 33.837
880 5.59802 1.06609 33.963
881 5.60438 1.04678 34.087
882 5.61075 1.14969 34.2235
883 5.61711 1.00423 34.343
884 5.62348 1.01872 34.4645
885 5.62984 1.12936 34.5995
886 5.63621 1.02247 34.722
887 5.64257 1.02017 34.8445
888 5.64894 1.01372 34.9665
889 5.6553 0.907805 35.076
890 5.66167 1.10429 35.2095
891 5.66803 0.978011 35.328
892 5.6744 0.934644 35.4415
893 5.68076 1.09688 35.575
894 5.68713 1.09032 35.708
895 5.69349 1.01427 35.832
896 5.69986 0.991604 35.9535
897 5.70622 1.1034 36.089
898 5.71259 1.02781 36.2155
899 5.71895 1.05796 36.346
900 5.72532 1.16481 36.49
901 5.73168 1.10976 36.6275
902 5.73805 1.1073 36.765
903 5.74441 1.06065 36.897
904 5.75078 1.1465 37.04
905 5.75714 0.93197 37.1565
906 5.76351 1.14543 37.3
907 5.76987 1.06724 37.434
908 5.77624 0.9735 37.5565
909 5.7826 1.01101 37.684
910 5.78897 1.07208 37.8195
911 5.79533 0.951306 37.94
912 5.8017 1.09101 38.0785
913 5.80806 0.982511 38.2035
914 5.81443 0.988204 38.3295
915 5.82079 1.02126 38.46
916 5.82716 1.12445 38.604
917 5.83352 0.938891 38.7245
918 5.83989 1.00682 38.854
919 5.84625 1.03566 38.9875
920 5.85262 1.05663 39.124
921 5.85898 0.996404 39.253
922 5.86535 0.947998 39.376
923 5.87171 0.930563 39.497
924 5.87808 0.993777 39.6265
925 5.88444 0.918884 39.7465
926 5.89081 0.939822 39.8695
927 5.89717 1.0636 40.009
928 5.90354 1.04609 40.1465
929 5.9099 1.13114 40.2955
930 5.91627 0.946901 40.4205
931 5.92263 1.02801 40.5565
932 5.929 1.05975 40.697
933 5.93536 1.00103 40.83
934 5.94173 0.897496 40.9495
935 5.94809 1.10917 41.0975
936 5.95446 0.957228 41.2255
937 5.96082 1.02608 41.363
938 5.96719 0.934532 41.4885
939 5.97355 1.05143 41.63
